season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,episode_synopsis
7,10,93,New Best Friends,Jeffrey F. January,Channing Powell,2017-02-19,11080000,7.3,9896,"While searching for Father Gabriel, the group comes across a mysterious new collective of survivors. Back at the Kingdom, Carol and Daryl have an emotional reunion."
7,11,94,Hostiles and Calamities,Kari Skogland,David Leslie Johnson-McGoldrick,2017-02-26,10420000,7.3,9840,"Eugene unwillingly begins to work for Negan and the Saviors at the Sanctuary. Meanwhile, Dwight pays a visit to a place from his past."
7,12,95,Say Yes,Greg Nicotero,Matthew Negrete,2017-03-05,10160000,7.0,10114,"The group scavenge for supplies. Back in Alexandria, Tara must make a morally challenging decision."
7,13,96,Bury Me Here,Alrick Riley,Scott M. Gimple,2017-03-12,10680000,7.6,9884,"Things don't go as planned, when a group of Kingdommers delivers goods to the Saviors during a routine supply drop-off."
7,14,97,The Other Side,Michael E. Satrazemis,Angela Kang,2017-03-19,10320000,6.6,9647,"The Saviors visit the Hilltop unexpectedly, surprising everyone, with plans of taking more than supplies."
7,15,98,Something They Need,Michael Slovis,Corey Reed,2017-03-26,10540000,7.5,9131,A group of Alexandrians embark on a journey; One member of the group must make a heartbreaking decision.
7,16,99,The First Day of the Rest of Your Life,Greg Nicotero,Scott M. Gimple and Angela Kang and Matthew Negrete,2017-04-02,11310000,7.7,15210,The stakes continue to grow higher as paths cross; The group enacts an intricate plan as the saviors arrive in Alexandria.
8,1,100,Mercy,Greg Nicotero,Scott M. Gimple,2017-10-22,11440000,6.9,13371,"Rick and his group, along with the Kingdom and Hilltop, band together to bring the fight to Negan and the Saviors."
8,2,101,The Damned,Rosemary Rodriguez,Matthew Negrete and Channing Powell,2017-10-29,8920000,6.7,11093,"The plan involving Alexandrians, Kingdommers and Hilltoppers unfolds; As Rick continues to fight, he encounters a familiar face."
8,3,102,Monsters,Greg Nicotero,Matthew Negrete and Channing Powell,2017-11-05,8520000,6.4,10414,"Conflict with the Saviors leads to unintended consequences for the Hilltop, the Kingdom, and Alexandria."
8,4,103,Some Guy,Dan Liu,David Leslie Johnson-McGoldrick,2017-11-12,8690000,6.8,10299,A new weapon in the Savior arsenal proves to be a giant hurdle as fighting continues between Rick's forces and those of the Saviors.
8,5,104,The Big Scary U,Michael E. Satrazemis,Scott M. Gimple and David Leslie Johnson-McGoldrick and Angela Kang,2017-11-19,7850000,7.3,9361,A close look at Negan and the lives of the Saviors during the conflict through a familiar set of eyes.
8,6,105,"The King, the Widow and Rick",John Polson,Angela Kang and Corey Reed,2017-11-26,8279999,6.2,8982,"With things looking up for Rick and the group, an argument breaks out at the Hilltop, where the consequences of the decision are life versus death."
